date;city;state;content
June 16th; New York;NY; Donald Trump [announces his candidacy](http://www.bing.com/videos/search?q=donald+trump+june+16+speech&amp;view=detail&amp;&amp;&amp;mid=E12DDD5ABFE2624002A6E12DDD5ABFE2624002A6&amp;rvsmid=E12DDD5ABFE2624002A6E12DDD5ABFE2624002A6#view=detail&amp;mid=E12DDD5ABFE2624002A6E12DDD5ABFE2624002A6) in front of Trump Towers in New York, starts off with a bang with many controversial remarks about immigration.
July 1st; New York;NY; Macy’s [stops carrying](http://www.cnn.com/2015/07/01/politics/donald-trump-macys/) Trump-affiliated items
July 4th;New York;NY; Donald Trump wishes [a happy 4th to everyone](https://twitter.com/realdonaldtrump/status/484923950917353473), even the “haters and losers.”
July 7th;Iowa City;IA; Hillary Clinton publicly responds to [Trump’s candidacy for the first time](http://www.politico.com/story/2015/07/hillary-clinton-last-rodeo-campaign-stop-iowa-2016-119810), criticising his remarks in an interview with CNN.
July 8th;New York;NY; PVH Corp, parent company of Calvin Klein and which made Trump’s apparel lines, [cuts ties with Trump](http://qz.com/447917/another-giant-company-is-cutting-its-ties-with-donald-trump/).
July 9th;Washington, DC;; A poll by The Economist and YouGov [calls Trump the front-runner](https://today.yougov.com/news/2015/07/09/gop-frontrunner-donald-trump/), after he edges out all other candidates when voters were asked about their first and second choice.
July 10th;Los Angeles;CA; Donald Trump attends a private dinner in LA, [and a large protest gathers outside](http://www.breitbart.com/big-hollywood/2015/07/10/large-protests-amplified-police-presence-expected-at-trump-event-in-los-angeles/).
July 11th;Phoenix;AZ; Donald Trump hosts one of his first campaign rallies, [supporters begin lining up at 4:45AM](http://www.breitbart.com/big-government/2015/07/11/crowd-lining-up-around-the-block-for-donald-trump-phoenix-event/) the previous morning.
July 12th;Baton Rouge;LA; Donald Trump [skips his signature Miss USA](http://pix11.com/2015/07/12/donald-trump-will-skip-boycotted-miss-usa-pageant/) pageant to ramp up campaigning
July 13th;Puerto Rico;US; The Trump International Golf Club Puerto Rico (which Trump does not own) [declares bankruptcy](http://www.businessinsider.com/trump-international-gold-club-puerto-rico-files-for-bankruptcy-2015-7).
July 14th;Charlottesville;VA; Donald Trump [attends a winery opening](http://wjla.com/news/political/donald-trump-attends-estate-opening-for-new-va-winery--115567).
July 15th;Washington DC;; Donald Trump [releases financial disclosures](http://www.dailymail.co.uk/news/article-3162884/Donald-Trump-worth-10-BILLION-says-campaign-files-presdential-financial-disclosure-paid-213-million-Apprentice.html) to the FEC, putting his net worth at $10B.
July 16th;Laconia;NH; Donald Trump [starts campaigning in New Hampshire](http://www.wmur.com/politics/donald-trump-campaigns-in-new-hampshire/34211664) with an appearance at the Laconia community center.
